trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
5598010,11:35:00,11:35:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
5645020,05:33:00,05:33:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
5673020,25:38:00,25:38:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
5710020,14:36:15,14:36:15,7639,82,TRAFFORD TO DOWNTOWN VIA OAKLAND,0,0,29513.59,0
5728080,08:12:00,08:12:00,29,9,MONROEVILLE TO FORBES HOSPITAL,0,0,5179.67,1
5742070,10:48:00,10:48:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
5748080,08:04:00,08:04:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
5763020,11:46:00,11:46:00,29,9,TRAFFORD TO FORBES HOSPITAL,0,0,5179.67,1
5775020,11:44:00,11:44:00,29,18,BRADDOCK-SWISSVALE TO NORTH BRADDOCK,0,0,4434.51,1
5780010,12:00:00,12:00:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
5791080,17:07:00,17:07:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
5797010,23:02:00,23:02:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
582020,19:15:00,19:15:00,29,9,TRAFFORD TO FORBES HOSPITAL,0,0,5179.67,1
5834020,08:19:00,08:19:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
5836080,13:25:00,13:25:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
5867020,14:29:08,14:29:08,7639,71,HOMEWOOD-SQUIRREL HILL TO BEECHWOOD-TILBURY,0,0,12655.27,0
5879070,18:30:00,18:30:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
5905020,20:03:00,20:03:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
5906070,18:27:00,18:27:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
5914020,23:32:56,23:32:56,7639,82,TRAFFORD TO DOWNTOWN VIA OAKLAND,0,0,29513.59,0
5916080,12:12:00,12:12:00,29,9,MONROEVILLE TO FORBES HOSPITAL,0,0,5179.67,1
5920070,21:34:00,21:34:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
5927070,11:45:15,11:45:15,7639,71,HOMEWOOD-SQUIRREL HILL TO MURRAY-FORBES,0,0,12655.27,0
5930070,14:30:00,14:30:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
5938020,24:38:00,24:38:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
5954010,08:42:00,08:42:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
5955020,25:12:00,25:12:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
5965080,23:02:00,23:02:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
5979080,20:24:32,20:24:32,29,45,GREENFIELD TO CARNEGIE MELLON,0,0,13941.39,0
598070,16:35:00,16:35:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
5981070,11:50:00,11:50:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
5989010,10:03:03,10:03:03,7639,71,HOMEWOOD-SQUIRREL HILL TO MURRAY-FORBES,0,0,12655.27,0
5994010,18:08:00,18:08:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
6001020,11:40:00,11:40:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
6017070,23:01:00,23:01:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
6019010,15:00:00,15:00:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
6024070,25:30:00,25:30:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
6042070,22:41:00,22:41:00,29,18,BRADDOCK-SWISSVALE TO NORTH BRADDOCK,0,0,4434.51,1
6056010,16:39:00,16:39:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
6062010,07:30:00,07:30:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
6075020,16:46:00,16:46:00,29,9,TRAFFORD TO FORBES HOSPITAL,0,0,5179.67,1
6080070,20:13:00,20:13:00,29,18,BRADDOCK-SWISSVALE TO NORTH BRADDOCK,0,0,4434.51,1
6127070,16:51:15,16:51:15,7639,71,HOMEWOOD-SQUIRREL HILL TO MURRAY-FORBES,0,0,12655.27,0
6140080,14:13:10,14:13:10,7639,58,MONROEVILLE TO DOWNTOWN VIA OAKLAND,0,0,21541.22,0
6155080,09:39:00,09:39:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
6160080,18:13:03,18:13:03,7639,71,HOMEWOOD-SQUIRREL HILL TO MURRAY-FORBES,0,0,12655.27,0
6186020,16:49:00,16:49:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
6192020,13:40:00,13:40:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
6194070,18:17:00,18:17:00,29,18,BRADDOCK-SWISSVALE TO NORTH BRADDOCK,0,0,4434.51,1
6201070,10:46:00,10:46:00,29,9,MONROEVILLE TO FORBES HOSPITAL,0,0,5179.67,1
62020,22:38:00,22:38:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
6203020,20:05:00,20:05:00,29,9,TRAFFORD TO FORBES HOSPITAL,0,0,5179.67,1
6218080,13:58:00,13:58:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
623020,13:51:19,13:51:19,7639,68,MONROEVILLE TO DOWNTOWN VIA OAKLAND,0,0,24086.24,0
6244010,13:30:00,13:30:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
6261010,06:24:00,06:24:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
627010,23:12:00,23:12:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
6272070,24:34:00,24:34:00,29,18,BRADDOCK-SWISSVALE TO NORTH BRADDOCK,0,0,4434.51,1
6280070,14:10:00,14:10:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
628020,21:08:56,21:08:56,7639,82,TRAFFORD TO DOWNTOWN VIA OAKLAND,0,0,29513.59,0
6300080,15:13:10,15:13:10,7639,58,MONROEVILLE TO DOWNTOWN VIA OAKLAND,0,0,21541.22,0
6310020,09:07:00,09:07:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
6324070,17:27:00,17:27:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
6344020,17:52:20,17:52:20,7639,71,HOMEWOOD-SQUIRREL HILL TO BEECHWOOD-TILBURY,0,0,12655.27,0
6366020,05:37:00,05:37:00,29,18,BRADDOCK-SWISSVALE TO NORTH BRADDOCK,0,0,4434.51,1
6378080,22:30:00,22:30:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
639020,20:38:00,20:38:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
6394020,10:00:19,10:00:19,7639,68,MONROEVILLE TO DOWNTOWN VIA OAKLAND,0,0,24086.24,0
6395020,17:56:00,17:56:00,29,18,BRADDOCK-SWISSVALE TO NORTH BRADDOCK,0,0,4434.51,1
6432020,11:08:08,11:08:08,7639,71,HOMEWOOD-SQUIRREL HILL TO BEECHWOOD-TILBURY,0,0,12655.27,0
6436020,22:21:00,22:21:00,29,18,BRADDOCK-SWISSVALE TO NORTH BRADDOCK,0,0,4434.51,1
6455020,12:05:15,12:05:15,7639,82,TRAFFORD TO DOWNTOWN VIA OAKLAND,0,0,29513.59,0
6472010,25:09:00,25:09:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
6505020,18:33:20,18:33:20,7639,71,HOMEWOOD-SQUIRREL HILL TO BEECHWOOD-TILBURY,0,0,12655.27,0
6512020,18:32:00,18:32:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
6514080,09:12:00,09:12:00,29,9,MONROEVILLE TO FORBES HOSPITAL,0,0,5179.67,1
6532010,20:10:00,20:10:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
6553080,18:18:10,18:18:10,7639,58,MONROEVILLE TO DOWNTOWN VIA OAKLAND,0,0,21541.22,0
